NM_UF,NM_MUNICIP,NM_MICRO,NM_LOCALID,LONG,LAT
RIO DE JANEIRO,ANGRA DOS REIS,BAÍA DA ILHA GRANDE,ANGRA DOS REIS,-44.3196272622666,-23.0091159352755
RIO DE JANEIRO,ANGRA DOS REIS,BAÍA DA ILHA GRANDE,ABRAÃO,-44.1609692754363,-23.143709207112
RIO DE JANEIRO,ANGRA DOS REIS,BAÍA DA ILHA GRANDE,CUNHAMBEBE,-44.4361637206427,-22.966426093929
RIO DE JANEIRO,ANGRA DOS REIS,BAÍA DA ILHA GRANDE,ALDEIA INDÍGENA GUARANI-BRACUÍ,-44.3973430130533,-22.8740296826884
RIO DE JANEIRO,ANGRA DOS REIS,BAÍA DA ILHA GRANDE,MAMBUCABA,-44.516409819835,-23.0245620434901
RIO DE JANEIRO,ARARUAMA,LAGOS,ARARUAMA,-42.3410960231634,-22.8774383873544
RIO DE JANEIRO,ARARUAMA,LAGOS,IGUABINHA,-42.2621489782693,-22.8673128825988
RIO DE JANEIRO,ARARUAMA,LAGOS,MORRO GRANDE,-42.3667757203432,-22.7907041020027
RIO DE JANEIRO,ARARUAMA,LAGOS,PRAIA SECA,-42.3088466918723,-22.9232156427006
RIO DE JANEIRO,ARARUAMA,LAGOS,SÃO VICENTE DE PAULA,-42.2571680788837,-22.7301476388387
RIO DE JANEIRO,ARARUAMA,LAGOS,SEM DENOMINAÇÃO,-42.2336128764981,-22.7386795798532
RIO DE JANEIRO,ARARUAMA,LAGOS,SOBRADINHO,-42.1970636680107,-22.6881570106712
RIO DE JANEIRO,ARARUAMA,LAGOS,MORUBAY,-42.1998808675834,-22.7196061523247
RIO DE JANEIRO,ARARUAMA,LAGOS,POSSE,-42.2267874404146,-22.7665293301958
RIO DE JANEIRO,ARMAÇÃO DOS BÚZIOS,LAGOS,ARMAÇÃO DOS BÚZIOS,-41.8877494680881,-22.7577637929238
RIO DE JANEIRO,ARRAIAL DO CABO,LAGOS,ARRAIAL DO CABO,-42.0283359676368,-22.967638277584
RIO DE JANEIRO,CABO FRIO,LAGOS,CABO FRIO,-42.0200748019026,-22.880764667133
RIO DE JANEIRO,CABO FRIO,LAGOS,TAMOIOS,-42.0282994649938,-22.7215108268239
RIO DE JANEIRO,IGUABA GRANDE,LAGOS,IGUABA GRANDE,-42.2221245423239,-22.8390569836941
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,PARATY,-44.7108585020174,-23.2194136073409
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,PARATI MIRIM,-44.6338156779579,-23.2419809402701
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,VILA DOS MORADORES DAS LARANJEIRAS,-44.6695689360274,-23.3361860010971
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,CONDOMÍNIO RESIDENCIAL LARANJEIRAS,-44.6851917021761,-23.343623186259
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,PONTA DA TRINDADE,-44.7339739583152,-23.3599686270637
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,PATRIMÔNIO,-44.7226317999049,-23.3179898182614
RIO DE JANEIRO,PARATY,BAÍA DA ILHA GRANDE,ALDEIA INDÍGENA ARAPONGA,-44.7731030252627,-23.3178446379079
